Country Code,Name of Country,Latitude,Longitude,Donor or Recipient,OECD Country Code?,
2420,Fiji,,,Recipient,FJI
2660,Gabon,,,Recipient,GAB
2700,Gambia,,,Recipient,GMB
2720,Georgia,,,Recipient,GEO
2880,Ghana,,,Recipient,GHA
3080,Grenada,,,Recipient,GRD
3200,Guatemala,,,Recipient,GTM
3240,Guinea,,,Recipient,GIN
6240,Guinea-Bissau,,,Recipient,GNB
3280,Guyana,,,Recipient,GUY
3320,Haiti,,,Recipient,HTI
3400,Honduras,,,Recipient,HND
3560,India,,,Recipient,IND
3600,Indonesia,,,Recipient,IDN
3640,Iran (Islamic Republic of),,,Recipient,IRN
3680,Iraq,,,Recipient,IRQ
3880,Jamaica,,,Recipient,JAM
4000,Jordan,,,Recipient,JOR
4020,Kazakhstan,,,Recipient,KAZ
4040,Kenya,,,Recipient,KEN
2960,Kiribati,,,Recipient,KIR
4160,Kyrgyzstan,,,Recipient,KGZ
4180,Lao People's Democratic Republic,,,Recipient,LAO
4220,Lebanon,,,Recipient,LBN
4260,Lesotho,,,Recipient,LSO
4300,Liberia,,,Recipient,LBR
4340,Libya,,,Recipient,LBY
4500,Madagascar,,,Recipient,MDG
4540,Malawi,,,Recipient,MWI
4580,Malaysia,,,Recipient,MYS
4620,Maldives,,,Recipient,MDV
4660,Mali,,,Recipient,MLI
5840,Marshall Islands,,,Recipient,MHL
4780,Mauritania,,,Recipient,MRT
4800,Mauritius,,,Recipient,MUS
4840,Mexico,,,Recipient,MEX
4845,Micronesia,,,Recipient,FSM
4960,Mongolia,,,Recipient,MNG
4990,Montenegro,,,Recipient,MNE
5000,Montserrat,,,Recipient,MSR
5040,Morocco,,,Recipient,MAR
5080,Mozambique,,,Recipient,MOZ
1040,Myanmar,,,Recipient,MMR
5160,Namibia,,,Recipient,NAM
5200,Nauru,,,Recipient,NRU
5240,Nepal,,,Recipient,NPL
5580,Nicaragua,,,Recipient,NIC
5620,Niger,,,Recipient,NER
5660,Nigeria,,,Recipient,NGA
5700,Niue,,,Recipient,NIU
5860,Pakistan,,,Recipient,PAK
955,Palau,,,Recipient,PLW
5900,Panama,,,Recipient,PAN
5980,Papua New Guinea,,,Recipient,PNG
6000,Paraguay,,,Recipient,PRY
6040,Peru,,,Recipient,PER
6080,Philippines,,,Recipient,PHL
6220,Republic of Moldova,,,Recipient,MDA
6460,Rwanda,,,Recipient,RWA
6540,Saint Helena,,,Recipient,SHN
6560,Saint Kitts and Nevis,,,Recipient,KNA
6620,Saint Lucia,,,Recipient,LCA
6700,Saint Vincent and the Grenadines,,,Recipient,VCT
8820,Samoa,,,Recipient,WSM
6780,Sao Tome and Principe,,,Recipient,STP
6860,Senegal,,,Recipient,SEN
6880,Serbia,,,Recipient,SRB
6900,Seychelles,,,Recipient,SYC
6940,Sierra Leone,,,Recipient,SLE
900,Solomon Islands,,,Recipient,SLB
7060,Somalia,,,Recipient,SOM
7100,South Africa,,,Recipient,ZAF
7280,South Sudan,,,Recipient,SSD
7340,Sri Lanka,,,Recipient,LKA
7290,Sudan,,,Recipient,SDN
7400,Suriname,,,Recipient,SUR
7480,Swaziland,,,Recipient,SWZ
7600,Syrian Arab Republic,,,Recipient,SYR
7610,Tajikistan,,,Recipient,TJK
7640,Thailand,,,Recipient,THA
4480,The former Yugoslav Republic of Macedonia,,,Recipient,MKD
6260,Timor-Leste,,,Recipient,TLS
7680,Togo,,,Recipient,TGO
7720,Tokelau,,,Recipient,TKL
7760,Tonga,,,Recipient,TON
7880,Tunisia,,,Recipient,TUN
7920,Turkey,,,Recipient,TUR
7940,Turkmenistan,,,Recipient,TKM
7780,Tuvalu,,,Recipient,TUV
8000,Uganda,,,Recipient,UGA
8070,Ukraine,,,Recipient,UKR
7620,United Republic of Tanzania,,,Recipient,TZA
8580,Uruguay,,,Recipient,URY
8600,Uzbekistan,,,Recipient,UZB
5480,Vanuatu,,,Recipient,VUT
8620,Venezuela,,,Recipient,VEN
8680,Viet Nam,,,Recipient,VNM
8850,Yemen,,,Recipient,YEM
8940,Zambia,,,Recipient,ZMB
7160,Zimbabwe,,,Recipient,ZWE
